date,sales
2011-12-09,224
2011-12-10,261
2011-12-11,306
2011-12-12,316
2011-12-13,260
2011-12-14,232
2011-12-15,136
2011-12-16,225
2011-12-17,309
2011-12-18,275
2011-12-19,319
2011-12-20,179
2011-12-21,254
2011-12-22,258
2011-12-23,297
2011-12-24,237
2011-12-25,0
2011-12-26,366
2011-12-27,353
2011-12-28,288
2011-12-29,186
2011-12-30,504
2011-12-31,220
2012-01-01,158
2012-01-02,235
2012-01-03,306
2012-01-04,318
2012-01-05,225
2012-01-06,375
2012-01-07,346
2012-01-08,209
2012-01-09,238
2012-01-10,287
2012-01-11,338
2012-01-12,242
2012-01-13,285
2012-01-14,308
2012-01-15,224
2012-01-16,287
2012-01-17,236
2012-01-18,211
2012-01-19,289
2012-01-20,207
2012-01-21,365
2012-01-22,281
2012-01-23,191
2012-01-24,177
2012-01-25,218
2012-01-26,346
2012-01-27,301
2012-01-28,334
2012-01-29,274
2012-01-30,164
2012-01-31,227
2012-02-01,282
2012-02-02,288
2012-02-03,326
2012-02-04,434
2012-02-05,328
2012-02-06,320
2012-02-07,280
2012-02-08,165
2012-02-09,165
2012-02-10,172
2012-02-11,381
2012-02-12,265
2012-02-13,153
2012-02-14,189
2012-02-15,215
2012-02-16,218
2012-02-17,225
2012-02-18,407
2012-02-19,281
2012-02-20,236
2012-02-21,202
2012-02-22,240
2012-02-23,202
2012-02-24,190
2012-02-25,371
2012-02-26,226
2012-02-27,204
2012-02-28,156
2012-02-29,303
2012-03-01,329
2012-03-02,342
2012-03-03,333
2012-03-04,263
2012-03-05,174
2012-03-06,252
2012-03-07,227
2012-03-08,130
2012-03-09,225
2012-03-10,333
2012-03-11,337
2012-03-12,223
2012-03-13,161
2012-03-14,106
2012-03-15,234
2012-03-16,292
2012-03-17,321
2012-03-18,344
2012-03-19,224
2012-03-20,213
2012-03-21,190
2012-03-22,156
2012-03-23,265
2012-03-24,340
2012-03-25,346
2012-03-26,209
2012-03-27,244
2012-03-28,240
2012-03-29,165
2012-03-30,409
2012-03-31,428
2012-04-01,306
2012-04-02,309
2012-04-03,279
2012-04-04,181
2012-04-05,247
2012-04-06,332
2012-04-07,302
2012-04-08,198
2012-04-09,332
2012-04-10,311
2012-04-11,256
2012-04-12,253
2012-04-13,458
2012-04-14,291
2012-04-15,250
2012-04-16,286
2012-04-17,162
2012-04-18,170
2012-04-19,294
2012-04-20,291
2012-04-21,352
2012-04-22,385
2012-04-23,161
2012-04-24,172
2012-04-25,192
2012-04-26,185
2012-04-27,296
2012-04-28,402
2012-04-29,308
2012-04-30,206
2012-05-01,240
2012-05-02,287
2012-05-03,419
2012-05-04,290
2012-05-05,322
2012-05-06,344
2012-05-07,161
2012-05-08,192
2012-05-09,94
2012-05-10,232
2012-05-11,148
2012-05-12,176
2012-05-13,215
2012-05-14,149
2012-05-15,144
2012-05-16,242
2012-05-17,148
2012-05-18,254
2012-05-19,194
2012-05-20,182
2012-05-21,187
2012-05-22,97
2012-05-23,147
2012-05-24,150
2012-05-25,227
2012-05-26,242
2012-05-27,230
2012-05-28,305
2012-05-29,367
2012-05-30,193
2012-05-31,321
2012-06-01,298
2012-06-02,321
2012-06-03,281
2012-06-04,291
2012-06-05,231
2012-06-06,253
2012-06-07,206
2012-06-08,310
2012-06-09,333
2012-06-10,334
2012-06-11,357
2012-06-12,204
2012-06-13,311
2012-06-14,254
2012-06-15,246
2012-06-16,367
2012-06-17,237
2012-06-18,222
2012-06-19,191
2012-06-20,274
2012-06-21,263
2012-06-22,426
2012-06-23,366
2012-06-24,218
2012-06-25,207
2012-06-26,204
2012-06-27,273
2012-06-28,229
2012-06-29,335
2012-06-30,391
2012-07-01,298
2012-07-02,224
2012-07-03,301
2012-07-04,123
2012-07-05,176
2012-07-06,283
2012-07-07,248
2012-07-08,329
2012-07-09,189
2012-07-10,331
2012-07-11,228
2012-07-12,282
2012-07-13,260
2012-07-14,318
2012-07-15,283
2012-07-16,191
2012-07-17,236
2012-07-18,196
2012-07-19,272
2012-07-20,306
2012-07-21,297
2012-07-22,350
2012-07-23,239
2012-07-24,161
2012-07-25,147
2012-07-26,222
2012-07-27,213
2012-07-28,285
2012-07-29,170
2012-07-30,282
2012-07-31,215
2012-08-01,252
2012-08-02,318
2012-08-03,319
2012-08-04,289
2012-08-05,184
2012-08-06,154
2012-08-07,228
2012-08-08,165
2012-08-09,126
2012-08-10,174
2012-08-11,297
2012-08-12,305
2012-08-13,191
2012-08-14,163
2012-08-15,189
2012-08-16,237
2012-08-17,214
2012-08-18,242
2012-08-19,284
2012-08-20,217
2012-08-21,165
2012-08-22,163
2012-08-23,190
2012-08-24,194
2012-08-25,257
2012-08-26,298
2012-08-27,233
2012-08-28,174
2012-08-29,144
2012-08-30,214
2012-08-31,280
2012-09-01,252
2012-09-02,259
2012-09-03,218
2012-09-04,213
2012-09-05,114
2012-09-06,115
2012-09-07,214
2012-09-08,233
2012-09-09,308
2012-09-10,178
2012-09-11,173
2012-09-12,146
2012-09-13,184
2012-09-14,237
2012-09-15,262
2012-09-16,245
2012-09-17,172
2012-09-18,172
2012-09-19,219
2012-09-20,193
2012-09-21,208
2012-09-22,330
2012-09-23,291
2012-09-24,183
2012-09-25,146
2012-09-26,175
2012-09-27,131
2012-09-28,308
2012-09-29,181
2012-09-30,244
2012-10-01,296
2012-10-02,183
2012-10-03,171
2012-10-04,180
2012-10-05,244
2012-10-06,257
2012-10-07,242
2012-10-08,171
2012-10-09,175
2012-10-10,172
2012-10-11,199
2012-10-12,239
2012-10-13,236
2012-10-14,302
2012-10-15,199
2012-10-16,183
2012-10-17,226
2012-10-18,230
2012-10-19,181
2012-10-20,277
2012-10-21,225
2012-10-22,201
2012-10-23,244
2012-10-24,186
2012-10-25,137
2012-10-26,147
2012-10-27,215
2012-10-28,387
2012-10-29,173
2012-10-30,144
2012-10-31,115
2012-11-01,189
2012-11-02,264
2012-11-03,252
2012-11-04,224
2012-11-05,147
2012-11-06,207
2012-11-07,130
2012-11-08,185
2012-11-09,200
2012-11-10,307
2012-11-11,243
2012-11-12,168
2012-11-13,154
2012-11-14,120
2012-11-15,135
2012-11-16,206
2012-11-17,303
2012-11-18,233
2012-11-19,211
2012-11-20,188
2012-11-21,160
2012-11-22,59
2012-11-23,144
2012-11-24,159
2012-11-25,211
2012-11-26,195
2012-11-27,137
2012-11-28,164
2012-11-29,125
2012-11-30,136
2012-12-01,259
2012-12-02,192
2012-12-03,199
2012-12-04,157
2012-12-05,138
2012-12-06,191
2012-12-07,166
2012-12-08,274
2012-12-09,196
2012-12-10,175
2012-12-11,147
2012-12-12,181
2012-12-13,181
2012-12-14,169
2012-12-15,269
2012-12-16,217
2012-12-17,177
2012-12-18,207
2012-12-19,148
2012-12-20,160
2012-12-21,251
2012-12-22,266
2012-12-23,187
2012-12-24,143
2012-12-25,0
2012-12-26,141
2012-12-27,154
2012-12-28,196
2012-12-29,231
2012-12-30,281
2012-12-31,159
2013-01-01,103
2013-01-02,172
2013-01-03,200
2013-01-04,222
2013-01-05,247
2013-01-06,215
2013-01-07,120
2013-01-08,142
2013-01-09,178
2013-01-10,212
2013-01-11,232
2013-01-12,232
2013-01-13,231
2013-01-14,152
2013-01-15,162
2013-01-16,163
2013-01-17,161
2013-01-18,226
2013-01-19,210
2013-01-20,234
2013-01-21,242
2013-01-22,184
2013-01-23,215
2013-01-24,275
2013-01-25,268
2013-01-26,387
2013-01-27,306
2013-01-28,324
2013-01-29,255
2013-01-30,180
2013-01-31,234
2013-02-01,484
2013-02-02,529
2013-02-03,197
2013-02-04,220
2013-02-05,161
2013-02-06,227
2013-02-07,188
2013-02-08,206
2013-02-09,326
2013-02-10,381
2013-02-11,277
2013-02-12,364
2013-02-13,305
2013-02-14,237
2013-02-15,377
2013-02-16,460
2013-02-17,348
2013-02-18,321
2013-02-19,254
2013-02-20,272
2013-02-21,313
2013-02-22,337
2013-02-23,417
2013-02-24,340
2013-02-25,330
2013-02-26,237
2013-02-27,319
2013-02-28,244
2013-03-01,359
2013-03-02,447
2013-03-03,336
2013-03-04,259
2013-03-05,217
2013-03-06,154
2013-03-07,145
2013-03-08,242
2013-03-09,346
2013-03-10,343
2013-03-11,298
2013-03-12,253
2013-03-13,294
2013-03-14,313
2013-03-15,340
2013-03-16,423
2013-03-17,405
2013-03-18,242
2013-03-19,290
2013-03-20,258
2013-03-21,295
2013-03-22,286
2013-03-23,389
2013-03-24,284
2013-03-25,241
2013-03-26,155
2013-03-27,189
2013-03-28,226
2013-03-29,275
2013-03-30,319
2013-03-31,230
2013-04-01,373
2013-04-02,316
2013-04-03,364
2013-04-04,360
2013-04-05,424
2013-04-06,459
2013-04-07,400
2013-04-08,272
2013-04-09,347
2013-04-10,281
2013-04-11,261
2013-04-12,346
2013-04-13,376
2013-04-14,476
2013-04-15,234
2013-04-16,238
2013-04-17,235
2013-04-18,320
2013-04-19,282
2013-04-20,353
2013-04-21,390
2013-04-22,333
2013-04-23,287
2013-04-24,218
2013-04-25,304
2013-04-26,391
2013-04-27,388
2013-04-28,285
2013-04-29,140
2013-04-30,149
2013-05-01,273
2013-05-02,191
2013-05-03,198
2013-05-04,248
2013-05-05,370
2013-05-06,255
2013-05-07,218
2013-05-08,294
2013-05-09,247
2013-05-10,314
2013-05-11,441
2013-05-12,259
2013-05-13,227
2013-05-14,321
2013-05-15,302
2013-05-16,241
2013-05-17,308
2013-05-18,412
2013-05-19,347
2013-05-20,357
2013-05-21,281
2013-05-22,315
2013-05-23,264
2013-05-24,341
2013-05-25,391
2013-05-26,380
2013-05-27,307
2013-05-28,339
2013-05-29,214
2013-05-30,272
2013-05-31,287
2013-06-01,457
2013-06-02,461
2013-06-03,452
2013-06-04,252
2013-06-05,365
2013-06-06,245
2013-06-07,346
2013-06-08,384
2013-06-09,400
2013-06-10,348
2013-06-11,254
2013-06-12,338
2013-06-13,290
2013-06-14,286
2013-06-15,399
2013-06-16,308
2013-06-17,388
2013-06-18,370
2013-06-19,248
2013-06-20,271
2013-06-21,398
2013-06-22,359
2013-06-23,360
2013-06-24,316
2013-06-25,352
2013-06-26,266
2013-06-27,250
2013-06-28,240
2013-06-29,259
2013-06-30,292
2013-07-01,325
2013-07-02,216
2013-07-03,347
2013-07-04,238
2013-07-05,297
2013-07-06,277
2013-07-07,349
2013-07-08,257
2013-07-09,225
2013-07-10,231
2013-07-11,254
2013-07-12,328
2013-07-13,339
2013-07-14,475
2013-07-15,280
2013-07-16,298
2013-07-17,233
2013-07-18,214
2013-07-19,325
2013-07-20,390
2013-07-21,449
2013-07-22,231
2013-07-23,303
2013-07-24,221
2013-07-25,269
2013-07-26,252
2013-07-27,299
2013-07-28,306
2013-07-29,296
2013-07-30,211
2013-07-31,290
2013-08-01,311
2013-08-02,377
2013-08-03,338
2013-08-04,353
2013-08-05,308
2013-08-06,291
2013-08-07,259
2013-08-08,229
2013-08-09,285
2013-08-10,284
2013-08-11,362
2013-08-12,310
2013-08-13,216
2013-08-14,236
2013-08-15,231
2013-08-16,299
2013-08-17,290
2013-08-18,353
2013-08-19,294
2013-08-20,215
2013-08-21,282
2013-08-22,241
2013-08-23,287
2013-08-24,303
2013-08-25,409
2013-08-26,216
2013-08-27,236
2013-08-28,217
2013-08-29,241
2013-08-30,299
2013-08-31,436
2013-09-01,227
2013-09-02,178
2013-09-03,180
2013-09-04,133
2013-09-05,114
2013-09-06,184
2013-09-07,231
2013-09-08,306
2013-09-09,285
2013-09-10,298
2013-09-11,219
2013-09-12,304
2013-09-13,323
2013-09-14,379
2013-09-15,361
2013-09-16,271
2013-09-17,294
2013-09-18,216
2013-09-19,301
2013-09-20,255
2013-09-21,393
2013-09-22,336
2013-09-23,295
2013-09-24,218
2013-09-25,247
2013-09-26,234
2013-09-27,411
2013-09-28,368
2013-09-29,340
2013-09-30,314
2013-10-01,373
2013-10-02,237
2013-10-03,335
2013-10-04,373
2013-10-05,411
2013-10-06,261
2013-10-07,300
2013-10-08,289
2013-10-09,367
2013-10-10,332
2013-10-11,334
2013-10-12,371
2013-10-13,326
2013-10-14,321
2013-10-15,242
2013-10-16,232
2013-10-17,269
2013-10-18,304
2013-10-19,347
2013-10-20,462
2013-10-21,194
2013-10-22,248
2013-10-23,284
2013-10-24,227
2013-10-25,250
2013-10-26,398
2013-10-27,402
2013-10-28,277
2013-10-29,273
2013-10-30,311
2013-10-31,218
2013-11-01,354
2013-11-02,424
2013-11-03,401
2013-11-04,317
2013-11-05,355
2013-11-06,257
2013-11-07,283
2013-11-08,266
2013-11-09,425
2013-11-10,357
2013-11-11,309
2013-11-12,268
2013-11-13,240
2013-11-14,208
2013-11-15,437
2013-11-16,496
2013-11-17,379
2013-11-18,337
2013-11-19,267
2013-11-20,239
2013-11-21,230
2013-11-22,379
2013-11-23,425
2013-11-24,362
2013-11-25,297
2013-11-26,377
2013-11-27,269
2013-11-28,91
2013-11-29,186
2013-11-30,293
2013-12-01,470
2013-12-02,413
2013-12-03,385
2013-12-04,347
2013-12-05,368
2013-12-06,308
2013-12-07,403
2013-12-08,379
2013-12-09,278
2013-12-10,338
2013-12-11,269
2013-12-12,383
2013-12-13,315
2013-12-14,422
2013-12-15,370
2013-12-16,387
2013-12-17,310
2013-12-18,267
2013-12-19,331
2013-12-20,341
2013-12-21,485
2013-12-22,438
2013-12-23,343
2013-12-24,262
2013-12-25,0
2013-12-26,255
2013-12-27,393
2013-12-28,325
2013-12-29,239
2013-12-30,364
2013-12-31,248
2014-01-01,191
2014-01-02,432
2014-01-03,376
2014-01-04,326
2014-01-05,369
2014-01-06,291
2014-01-07,338
2014-01-08,313
2014-01-09,299
2014-01-10,302
2014-01-11,397
2014-01-12,230
2014-01-13,280
2014-01-14,275
2014-01-15,242
2014-01-16,262
2014-01-17,320
2014-01-18,393
2014-01-19,225
2014-01-20,306
2014-01-21,322
2014-01-22,265
2014-01-23,222
2014-01-24,288
2014-01-25,349
2014-01-26,354
2014-01-27,262
2014-01-28,199
2014-01-29,178
2014-01-30,286
2014-01-31,399
2014-02-01,468
2014-02-02,262
2014-02-03,350
2014-02-04,278
2014-02-05,286
2014-02-06,257
2014-02-07,333
2014-02-08,366
2014-02-09,262
2014-02-10,254
2014-02-11,210
2014-02-12,232
2014-02-13,264
2014-02-14,262
2014-02-15,357
2014-02-16,314
2014-02-17,266
2014-02-18,240
2014-02-19,230
2014-02-20,241
2014-02-21,352
2014-02-22,302
2014-02-23,300
2014-02-24,247
2014-02-25,278
2014-02-26,347
2014-02-27,261
2014-02-28,265
2014-03-01,371
2014-03-02,353
2014-03-03,317
2014-03-04,216
2014-03-05,188
2014-03-06,281
2014-03-07,273
2014-03-08,383
2014-03-09,367
2014-03-10,303
2014-03-11,223
2014-03-12,224
2014-03-13,190
2014-03-14,401
2014-03-15,360
2014-03-16,273
2014-03-17,268
2014-03-18,243
2014-03-19,235
2014-03-20,240
2014-03-21,282
2014-03-22,436
2014-03-23,306
2014-03-24,228
2014-03-25,222
2014-03-26,236
2014-03-27,228
2014-03-28,268
2014-03-29,394
2014-03-30,333
2014-03-31,211
2014-04-01,247
2014-04-02,259
2014-04-03,287
2014-04-04,267
2014-04-05,503
2014-04-06,408
2014-04-07,284
2014-04-08,258
2014-04-09,282
2014-04-10,270
2014-04-11,461
2014-04-12,311
2014-04-13,356
2014-04-14,242
2014-04-15,176
2014-04-16,217
2014-04-17,240
2014-04-18,316
2014-04-19,311
2014-04-20,316
2014-04-21,252
2014-04-22,316
2014-04-23,295
2014-04-24,247
2014-04-25,287
2014-04-26,357
2014-04-27,311
2014-04-28,251
2014-04-29,223
2014-04-30,234
2014-05-01,223
2014-05-02,342
2014-05-03,432
2014-05-04,368
2014-05-05,249
2014-05-06,249
2014-05-07,294
2014-05-08,331
2014-05-09,276
2014-05-10,310
2014-05-11,279
2014-05-12,208
2014-05-13,255
2014-05-14,188
2014-05-15,296
2014-05-16,319
2014-05-17,375
2014-05-18,334
2014-05-19,271
2014-05-20,238
2014-05-21,224
2014-05-22,241
2014-05-23,308
2014-05-24,377
2014-05-25,256
2014-05-26,274
2014-05-27,351
2014-05-28,338
2014-05-29,229
2014-05-30,312
2014-05-31,424
2014-06-01,376
2014-06-02,301
2014-06-03,293
2014-06-04,279
2014-06-05,298
2014-06-06,263
2014-06-07,321
2014-06-08,296
2014-06-09,219
2014-06-10,198
2014-06-11,253
2014-06-12,239
2014-06-13,361
2014-06-14,414
2014-06-15,355
2014-06-16,320
2014-06-17,239
2014-06-18,330
2014-06-19,211
2014-06-20,313
2014-06-21,376
2014-06-22,292
2014-06-23,269
2014-06-24,296
2014-06-25,303
2014-06-26,225
2014-06-27,360
2014-06-28,307
2014-06-29,342
2014-06-30,347
2014-07-01,319
2014-07-02,300
2014-07-03,385
2014-07-04,224
2014-07-05,293
2014-07-06,333
2014-07-07,278
2014-07-08,265
2014-07-09,200
2014-07-10,218
2014-07-11,320
2014-07-12,329
2014-07-13,355
2014-07-14,281
2014-07-15,275
2014-07-16,302
2014-07-17,213
2014-07-18,356
2014-07-19,336
2014-07-20,375
2014-07-21,292
2014-07-22,211
2014-07-23,283
2014-07-24,256
2014-07-25,213
2014-07-26,231
2014-07-27,356
2014-07-28,322
2014-07-29,316
2014-07-30,189
2014-07-31,256
2014-08-01,346
2014-08-02,372
2014-08-03,428
2014-08-04,372
2014-08-05,222
2014-08-06,321
2014-08-07,324
2014-08-08,318
2014-08-09,347
2014-08-10,365
2014-08-11,218
2014-08-12,275
2014-08-13,275
2014-08-14,264
2014-08-15,330
2014-08-16,378
2014-08-17,297
2014-08-18,345
2014-08-19,295
2014-08-20,273
2014-08-21,233
2014-08-22,263
2014-08-23,304
2014-08-24,291
2014-08-25,311
2014-08-26,279
2014-08-27,242
2014-08-28,280
2014-08-29,223
2014-08-30,417
2014-08-31,311
2014-09-01,284
2014-09-02,288
2014-09-03,321
2014-09-04,216
2014-09-05,339
2014-09-06,307
2014-09-07,330
2014-09-08,216
2014-09-09,291
2014-09-10,275
2014-09-11,202
2014-09-12,346
2014-09-13,441
2014-09-14,294
2014-09-15,327
2014-09-16,176
2014-09-17,282
2014-09-18,217
2014-09-19,374
2014-09-20,343
2014-09-21,288
2014-09-22,201
2014-09-23,209
2014-09-24,220
2014-09-25,291
2014-09-26,213
2014-09-27,347
2014-09-28,334
2014-09-29,276
2014-09-30,266
2014-10-01,268
2014-10-02,285
2014-10-03,279
2014-10-04,385
2014-10-05,306
2014-10-06,285
2014-10-07,242
2014-10-08,240
2014-10-09,235
2014-10-10,274
2014-10-11,346
2014-10-12,282
2014-10-13,296
2014-10-14,237
2014-10-15,302
2014-10-16,177
2014-10-17,344
2014-10-18,390
2014-10-19,274
2014-10-20,281
2014-10-21,273
2014-10-22,273
2014-10-23,232
2014-10-24,273
2014-10-25,424
2014-10-26,319
2014-10-27,251
2014-10-28,291
2014-10-29,233
2014-10-30,267
2014-10-31,226
2014-11-01,602
2014-11-02,341
2014-11-03,260
2014-11-04,273
2014-11-05,228
2014-11-06,273
2014-11-07,330
2014-11-08,318
2014-11-09,315
2014-11-10,257
2014-11-11,292
2014-11-12,199
2014-11-13,241
2014-11-14,275
2014-11-15,359
2014-11-16,363
2014-11-17,299
2014-11-18,225
2014-11-19,272
2014-11-20,210
2014-11-21,335
2014-11-22,390
2014-11-23,317
2014-11-24,279
2014-11-25,253
2014-11-26,263
2014-11-27,83
2014-11-28,229
2014-11-29,313
2014-11-30,380
2014-12-01,334
2014-12-02,261
2014-12-03,242
2014-12-04,250
2014-12-05,297
2014-12-06,430
2014-12-07,314
2014-12-08,270
2014-12-09,337
2014-12-10,340
2014-12-11,135
2014-12-12,286
2014-12-13,362
2014-12-14,364
2014-12-15,256
2014-12-16,345
2014-12-17,230
2014-12-18,260
2014-12-19,280
2014-12-20,418
2014-12-21,331
2014-12-22,295
2014-12-23,358
2014-12-24,191
2014-12-25,0
2014-12-26,274
2014-12-27,344
2014-12-28,270
2014-12-29,311
2014-12-30,274
2014-12-31,308
2015-01-01,212
2015-01-02,325
2015-01-03,324
2015-01-04,358
2015-01-05,365
2015-01-06,273
2015-01-07,184
2015-01-08,229
2015-01-09,223
2015-01-10,403
2015-01-11,286
2015-01-12,347
2015-01-13,241
2015-01-14,268
2015-01-15,285
2015-01-16,327
2015-01-17,381
2015-01-18,284
2015-01-19,335
2015-01-20,207
2015-01-21,253
2015-01-22,167
2015-01-23,339
2015-01-24,411
2015-01-25,308
2015-01-26,205
2015-01-27,281
2015-01-28,284
2015-01-29,255
2015-01-30,355
2015-01-31,407
2015-02-01,388
2015-02-02,295
2015-02-03,291
2015-02-04,237
2015-02-05,267
2015-02-06,271
2015-02-07,443
2015-02-08,326
2015-02-09,339
2015-02-10,338
2015-02-11,324
2015-02-12,224
2015-02-13,273
2015-02-14,412
2015-02-15,315
2015-02-16,362
2015-02-17,256
2015-02-18,233
2015-02-19,292
2015-02-20,314
2015-02-21,357
2015-02-22,419
2015-02-23,225
2015-02-24,230
2015-02-25,327
2015-02-26,355
2015-02-27,438
2015-02-28,543
2015-03-01,503
2015-03-02,273
2015-03-03,348
2015-03-04,279
2015-03-05,376
2015-03-06,361
2015-03-07,411
2015-03-08,428
2015-03-09,258
2015-03-10,309
2015-03-11,251
2015-03-12,318
2015-03-13,260
2015-03-14,390
2015-03-15,330
2015-03-16,374
2015-03-17,258
2015-03-18,317
2015-03-19,288
2015-03-20,325
2015-03-21,419
2015-03-22,334
2015-03-23,295
2015-03-24,314
2015-03-25,256
2015-03-26,268
2015-03-27,283
2015-03-28,344
2015-03-29,296
2015-03-30,372
2015-03-31,241
2015-04-01,358
2015-04-02,290
2015-04-03,357
2015-04-04,430
2015-04-05,302
2015-04-06,310
2015-04-07,352
2015-04-08,290
2015-04-09,278
2015-04-10,331
2015-04-11,414
2015-04-12,409
2015-04-13,290
2015-04-14,331
2015-04-15,285
2015-04-16,340
2015-04-17,256
2015-04-18,453
2015-04-19,351
2015-04-20,287
2015-04-21,230
2015-04-22,276
2015-04-23,315
2015-04-24,387
2015-04-25,361
2015-04-26,305
2015-04-27,264
2015-04-28,255
2015-04-29,299
2015-04-30,307
2015-05-01,337
